Bin	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	X
Bin5000000	0	0	1.0;1.0	0.387096774194;0.409090909091	0.291666666667;0.395348837209	0.463414634146;0.604651162791	1.0;0.994252873563	0.988188976378;1.0	0	0.455172413793;0.676767676768	1.0;1.0	0.592233009709;0.41095890411	0	0	0	0.88;0.93023255814	0.31914893617;0.722222222222	1.0;1.0	1.0;1.0	0.538461538462;0.515384615385	0	0	0.293103448276;0.45
Bin5250000	0	0	0.603773584906;0.40350877193	1.0;1.0	1.0;1.0	0.496894409938;0.337579617834	0.496183206107;0.539130434783	0	0.977272727273;0.979591836735	1.0;1.0	0.508474576271;0.58865248227	0.509523809524;0.581005586592	0	0	0	0.420814479638;0.603658536585	0.531914893617;0.866666666667	1.0;1.0	1.0;1.0	0.602564102564;0.418367346939	0	0	0
Bin5500000	0	0	0	1.0;1.0	0	0.395348837209;0.3	0.608108108108;0.506666666667	0	0.983606557377;0.953488372093	1.0;1.0	0.966101694915;1.0	0.444444444444;0.53982300885	0	0	0	0	1.0;1.0	0	0.532710280374;0.666666666667	0.913043478261;0.894736842105	0	0	0
Bin5750000	0.30303030303;0.617647058824	0.558823529412;0.49504950495	0	0.407407407407;0.59649122807	0.425742574257;0.337662337662	0	0.322222222222;0.333333333333	0	1.0;1.0	0.548387096774;0.454545454545	0.528455284553;0.619047619048	1.0;0.984126984127	0	0	0	0	0	0.477777777778;0.696629213483	0.48;0.282608695652	1.0;1.0	0	0	0.555555555556;0.474747474747
Bin6000000	0.583333333333;0.363636363636	0.416666666667;0.4453125	0	0	0	0	1.0;1.0	0	0	1.0;1.0	0.71875;0.575	0.636363636364;0.3	0	0	0	0	0.490196078431;0.966666666667	0	0.483333333333;0.435483870968	0.472527472527;0.453846153846	0	0	0
Bin6250000	0.361111111111;0.565789473684	0.462962962963;0.681818181818	0	1.0;1.0	0.338461538462;0.454545454545	0.995433789954;1.0	0.487603305785;0.418032786885	0.519230769231;0.21897810219	0.52808988764;0.378947368421	1.0;1.0	0.513043478261;0.344086021505	1.0;1.0	0	0	0	0	1.0;1.0	0.4375;0.525	0.402173913043;0.6	0	0	0	0.368421052632;0.335329341317
Bin6500000	0.552631578947;0.577777777778	1.0;1.0	0	0.381818181818;0.428571428571	0.490909090909;0.433333333333	0.641509433962;0.613636363636	0.581395348837;0.516129032258	0.490566037736;0.686746987952	0.435483870968;0.608695652174	0.53488372093;0.3125	1.0;1.0	1.0;1.0	0	0	0	0	0.811320754717;0.857142857143	0	1.0;1.0	0.358974358974;0.277777777778	0	0	0
Bin6750000	0.375;0.428571428571	0	1.0;1.0	0.416666666667;0.372093023256	0.52;0.44	0	1.0;1.0	1.0;1.0	0	0	0.537313432836;0.771428571429	0.804597701149;0.811594202899	0	0	0	0	0.340425531915;0.6875	1.0;1.0	0.588235294118;0.488888888889	0.48;0.578947368421	0	0	1.0;1.0
Bin7000000	0	0.521367521368;0.48031496063	0	1.0;1.0	0	0.484848484848;0.666666666667	1.0;1.0	0.712643678161;0.719298245614	0.570247933884;0.376811594203	0	1.0;0.989130434783	0.540540540541;0.428571428571	0	0	0	0.426086956522;0.322580645161	0.456790123457;0.918032786885	1.0;1.0	1.0;1.0	0	0	0	1.0;1.0
Bin7250000	0	0	0.314285714286;0.567567567568	1.0;1.0	0.492063492063;0.367346938776	1.0;1.0	0.410714285714;0.338461538462	0.612903225806;0.5	0.466257668712;0.532051282051	0.5;0.533333333333	0.449152542373;0.576576576577	0.56338028169;0.675675675676	0	0	0	0	1.0;1.0	0	0	0	0	0	1.0;1.0
Bin7500000	0.542857142857;0.576642335766	0	0.625;0.4	0.5;0.348837209302	1.0;1.0	0.518518518519;0.322580645161	1.0;1.0	1.0;1.0	0.567796610169;0.592233009709	1.0;1.0	0.413533834586;0.442857142857	1.0;1.0	0	0	0	0.59375;0.723404255319	1.0;1.0	0	0.385714285714;0.280898876404	0.983870967742;0.977272727273	0	0	0
Bin7750000	0.443548387097;0.616541353383	0	0.384615384615;0.545454545455	1.0;0.993865030675	1.0;0.942857142857	0.972972972973;1.0	0	1.0;0.991304347826	0.414141414141;0.579545454545	0.56;0.5	0.497237569061;0.558333333333	0.448780487805;0.704301075269	0	0	0	0.524390243902;0.592592592593	1.0;1.0	0	0.422222222222;0.721649484536	0.436363636364;0.36170212766	0	0	0.513513513514;0.553571428571
Bin8000000	0.513157894737;0.469879518072	0	0	0.625;0.568965517241	0	1.0;0.984848484848	1.0;1.0	0.560606060606;0.241935483871	0	0.459016393443;0.614035087719	1.0;1.0	0.493975903614;0.323076923077	0	0	0	0	0.53125;0.882352941176	1.0;1.0	0.625;0.571428571429	0.506849315068;0.542168674699	0	0	0.92;0.888888888889
Bin8250000	0.540540540541;0.526315789474	0	0	0.58064516129;0.477777777778	0	0	0.536231884058;0.606741573034	0	0.443181818182;0.481481481481	0	1.0;1.0	0.405063291139;0.2	0	0	0	0	1.0;0.981818181818	1.0;1.0	1.0;1.0	0	0	0	0.508571428571;0.63963963964
Bin8500000	0	1.0;1.0	0.448979591837;0.410714285714	0.58904109589;0.588235294118	0	0	0	1.0;1.0	0	1.0;0.981132075472	0.403225806452;0.48275862069	0.58;0.705882352941	0	0	0	1.0;1.0	1.0;1.0	1.0;1.0	1.0;1.0	1.0;0.978260869565	0	0	0.52;0.659574468085
Bin8750000	0	1.0;1.0	0.38125;0.47311827957	0.493333333333;0.307692307692	0	0	1.0;1.0	0.538461538462;0.219512195122	0	0	0.363636363636;0.349693251534	0.354166666667;0.673076923077	0	0	0	0.5;0.438596491228	0	0.489361702128;0.314285714286	0.216494845361;0.204301075269	1.0;1.0	0	0	0.5625;0.553571428571
Bin9000000	0.59375;0.367346938776	0	1.0;1.0	0.588235294118;0.530612244898	1.0;1.0	0	0	0	0.4;0.416666666667	0	0.611940298507;0.583333333333	1.0;1.0	0	0	0	1.0;1.0	1.0;1.0	0.212121212121;0.283018867925	0.609375;0.784810126582	1.0;1.0	0	0	0
Bin9250000	1.0;1.0	0.493506493506;0.584158415842	0.481481481481;0.604166666667	0.477911646586;0.510135135135	0.8375;0.846153846154	0	0	0	0.586956521739;0.479166666667	0	0.53982300885;0.613636363636	1.0;1.0	0	0	0	0	0	0.615384615385;0.666666666667	0.5;0.587155963303	1.0;1.0	0	0	0
Bin9500000	0	0.533333333333;0.441176470588	0.544444444444;0.581395348837	0.504504504505;0.437908496732	0	0.540740740741;0.288659793814	0	0.433962264151;0.833333333333	0	0	0.362068965517;0.469879518072	0.468926553672;0.494444444444	0	0	0	0	0.490566037736;0.2	1.0;1.0	0.5;0.475	1.0;1.0	0.42;0.631578947368	0	0.450381679389;0.390977443609
Bin9750000	0.426086956522;0.306818181818	0.617647058824;0.471698113208	1.0;1.0	1.0;1.0	0	0	0.423076923077;0.508875739645	1.0;0.988372093023	0.989795918367;1.0	0	0.571428571429;0.404761904762	0.666666666667;0.549019607843	0	0	0	0.6;0.326086956522	0.425925925926;0.756756756757	1.0;1.0	0.568181818182;0.6875	0	0.424242424242;0.344827586207	0	0.358974358974;0.422222222222
Bin10000000	0.537234042553;0.369458128079	0.553846153846;0.556962025316	1.0;1.0	0.614583333333;0.532608695652	1.0;1.0	1.0;1.0	0	0	0	0.267857142857;0.204545454545	0.984615384615;1.0	1.0;1.0	0	0	0	0.482142857143;0.592592592593	1.0;1.0	0	0.5;0.525	0	0	0	0.588235294118;0.7
Bin10250000	0.506666666667;0.5	0.371428571429;0.403225806452	0.484615384615;0.509803921569	1.0;1.0	0.322580645161;0.347826086957	0.389830508475;0.347222222222	1.0;1.0	1.0;1.0	0	0	1.0;1.0	0.569892473118;0.622641509434	0	0	0	0	0.525423728814;0.867924528302	0.516949152542;0.455882352941	0.58064516129;0.513513513514	0.409090909091;0.446808510638	0	0	0
Bin10500000	0.367647058824;0.328767123288	0.44776119403;0.596153846154	0	1.0;1.0	1.0;1.0	0.489130434783;0.581632653061	0.526315789474;0.418181818182	0.535947712418;0.8	0	0	1.0;1.0	0.434285714286;0.696551724138	0	0	0	0.293577981651;0.466666666667	1.0;1.0	0.5;0.441860465116	1.0;0.968253968254	0.846153846154;0.885714285714	0.926829268293;0.96875	0	0
Bin10750000	0.415492957746;0.703947368421	1.0;0.981308411215	0.602941176471;0.618421052632	0	1.0;1.0	1.0;1.0	0.417910447761;0.271028037383	1.0;1.0	0	0.510638297872;0.447368421053	0.363636363636;0.478260869565	0.485981308411;0.4	0	0	0	1.0;1.0	0	0.488888888889;0.324324324324	1.0;1.0	0	1.0;1.0	0	0
Bin11000000	0.58;0.470085470085	1.0;0.996138996139	1.0;1.0	0	0.403225806452;0.53164556962	0.369047619048;0.21875	0.545454545455;0.389830508475	0.395833333333;0.53488372093	1.0;1.0	0	0.813953488372;0.8	0.772727272727;0.764705882353	0	0	0	0.32967032967;0.577464788732	0	0	0.461538461538;0.476923076923	0	0.517826825127;0.502712477396	0	0
Bin11250000	0.857142857143;0.885964912281	1.0;1.0	0.4375;0.454545454545	1.0;1.0	0	0	0.560975609756;0.522727272727	0.533333333333;0.714285714286	0	0.376811594203;0.603773584906	1.0;1.0	1.0;1.0	0	0	0	1.0;1.0	0	0	1.0;1.0	0	0	0	0
Bin11500000	0.386740331492;0.559241706161	0.51968503937;0.483146067416	1.0;0.975308641975	0	0	1.0;1.0	0.490566037736;0.509677419355	0.5;0.777777777778	0	0.425742574257;0.446153846154	0	0.470588235294;0.333333333333	0	0	0	0.5;0.333333333333	0.982142857143;1.0	0.297872340426;0.290322580645	1.0;0.985714285714	0	0	0	0.472222222222;0.595744680851
Bin11750000	0.457142857143;0.394736842105	0.463414634146;0.565656565657	1.0;1.0	0	1.0;1.0	0.568181818182;0.333333333333	0	0.444444444444;0.686666666667	0	1.0;1.0	0.439024390244;0.369863013699	0	0	0	0	0.410256410256;0.295081967213	0.267605633803;0.322580645161	0.989361702128;1.0	0.451612903226;0.463636363636	1.0;1.0	0	0	0.506666666667;0.633333333333
Bin12000000	1.0;1.0	0.25;0.294736842105	1.0;1.0	0	0	0.490740740741;0.601694915254	0	0.298013245033;0.421052631579	0	1.0;1.0	0.594594594595;0.676470588235	0.444444444444;0.684210526316	0	0	0	1.0;1.0	1.0;1.0	1.0;1.0	0.472727272727;0.5	0	0	0	0
Bin12250000	0.522875816993;0.608333333333	0	0.446043165468;0.507692307692	0	0	0.387878787879;0.608695652174	0.464285714286;0.478873239437	0.430379746835;0.488706365503	0	0.458333333333;0.5625	0.47619047619;0.43137254902	1.0;1.0	0	0	0	0	0	0.5;0.220338983051	0.325581395349;0.477272727273	0	0	0	0
Bin12500000	0	0	1.0;1.0	0	0	1.0;1.0	0.311688311688;0.620689655172	0.746835443038;0.906976744186	1.0;1.0	0.658536585366;0.512820512821	0.399082568807;0.588235294118	0.714285714286;0.525	0	0	0	0.558139534884;0.761904761905	0.516666666667;0.904761904762	0.487804878049;0.472222222222	0.375;0.3	0	0	0	1.0;1.0
Bin12750000	1.0;1.0	0.963963963964;0.986577181208	0.641304347826;0.635135135135	0	0	0	0	0.426666666667;0.734693877551	1.0;1.0	0.536585365854;0.558139534884	0.596153846154;0.537313432836	1.0;1.0	0	0	0	1.0;0.969696969697	0.430107526882;0.875	1.0;1.0	0.59375;0.510638297872	0	0	0	0.463636363636;0.418181818182
Bin13000000	1.0;1.0	0	1.0;1.0	0	0	0	0	1.0;1.0	1.0;1.0	0.581081081081;0.45652173913	0.52380952381;0.514285714286	0.451612903226;0.392857142857	0	0	0	0	0	1.0;1.0	0.5125;0.623529411765	0.435483870968;0.413043478261	0	0	0
Bin13250000	1.0;1.0	0	0.52;0.495575221239	0.41116751269;0.505226480836	0	0.5;0.692307692308	0	0.47619047619;0.266666666667	0	0.355828220859;0.36974789916	0	0.472222222222;0.690476190476	0	0	0	0.45;0.211538461538	0	0	1.0;1.0	0	0	0	0.764705882353;0.725
Bin13500000	0.315315315315;0.276923076923	0	0.337078651685;0.25641025641	1.0;1.0	0.5;0.466666666667	0.514705882353;0.593406593407	0	0.512820512821;0.264705882353	0	1.0;1.0	0.457943925234;0.5	0.393939393939;0.575	0	0	0	0.5;0.452380952381	0	0.648148148148;0.428571428571	0	0.534653465347;0.50495049505	0	0	1.0;1.0
Bin13750000	0.550724637681;0.543859649123	0	1.0;1.0	0	1.0;1.0	0.516483516484;0.426666666667	0.576923076923;0.526627218935	0.502857142857;0.278571428571	0	1.0;1.0	1.0;1.0	0.576923076923;0.271186440678	0	0	0	0	1.0;1.0	1.0;1.0	0.512195121951;0.55	0.553846153846;0.410714285714	0	0	0.487804878049;0.528301886792
Bin14000000	1.0;1.0	0	0.460606060606;0.493055555556	0	0	1.0;1.0	0.567164179104;0.479591836735	1.0;1.0	1.0;1.0	0	0.803921568627;0.852272727273	1.0;1.0	0	0	0	0.417910447761;0.542372881356	0.240740740741;0.65625	1.0;1.0	0.336633663366;0.356481481481	0.590476190476;0.507692307692	0	0	0.36641221374;0.37037037037
Bin14250000	0	0	1.0;1.0	0	0.575757575758;0.470588235294	0	0	0	0	0	1.0;1.0	0	0	0	0	0	0	0.471428571429;0.444444444444	0.228571428571;0.41935483871	0.361904761905;0.351063829787	0.364864864865;0.242424242424	0	0.464788732394;0.609756097561
Bin14500000	0	0	1.0;1.0	0	0.412698412698;0.594339622642	0	0	0	1.0;1.0	0.424242424242;0.441176470588	0.581632653061;0.384615384615	1.0;1.0	0	0	0	0	0	1.0;1.0	0.547169811321;0.383561643836	0	0.487804878049;0.778443113772	0	0.514285714286;0.633333333333
Bin14750000	0	0	1.0;1.0	0	1.0;1.0	0	0.78;0.875	0	1.0;1.0	0.475862068966;0.394495412844	1.0;1.0	1.0;1.0	0	0	0	0.351612903226;0.270440251572	0	0.515625;0.492307692308	0.434782608696;0.240963855422	0	1.0;1.0	0	0.58064516129;0.441176470588
Bin15000000	0	0	0.564102564103;0.42	0	0	0	0.541935483871;0.418269230769	0	1.0;1.0	0.41935483871;0.395833333333	1.0;1.0	1.0;0.994047619048	0	0	0	1.0;1.0	0.567901234568;0.796875	0	0.45;0.447058823529	0	0.373134328358;0.5	0	0
Bin15250000	0.510204081633;0.55	0.588235294118;0.675675675676	0.340909090909;0.575	1.0;1.0	0	0.628205128205;0.37106918239	0.478260869565;0.443181818182	0.588785046729;0.728	1.0;1.0	0.470588235294;0.595744680851	0.542372881356;0.5	1.0;1.0	0	0	0	1.0;1.0	1.0;1.0	0.506024096386;0.373333333333	1.0;1.0	0	0.542168674699;0.229508196721	0	0.4;0.380434782609
Bin15500000	1.0;1.0	0.510416666667;0.59842519685	1.0;1.0	1.0;1.0	0	0.464285714286;0.732142857143	0.356589147287;0.403973509934	0.407766990291;0.237113402062	0.455284552846;0.575757575758	0.545454545455;0.428571428571	0	1.0;1.0	0	0	0	0.433962264151;0.790697674419	1.0;1.0	0	1.0;1.0	0	0.52688172043;0.772727272727	0	0.381294964029;0.436893203883
Bin15750000	0.586956521739;0.294117647059	0.48347107438;0.427325581395	0.962962962963;0.99	0.363636363636;0.489361702128	0.468085106383;0.421052631579	0	0	1.0;1.0	0.416666666667;0.489051094891	0	0.465753424658;0.345454545455	0.56862745098;0.515789473684	0	0	0	0.492307692308;0.703125	0	0	0.575;0.354166666667	0.41975308642;0.472222222222	1.0;1.0	0	1.0;1.0
Bin16000000	1.0;1.0	1.0;1.0	0	0.514285714286;0.558823529412	0	0.318181818182;0.583333333333	0.346153846154;0.477528089888	0.509259259259;0.325	0	0	0.439393939394;0.424460431655	0.406504065041;0.303921568627	0	0	0	0.5;0.6	0.503496503497;0.212121212121	0	0.418181818182;0.404494382022	0.564102564103;0.55	0	0.27868852459;0.27027027027	0.437125748503;0.408
Bin16250000	1.0;1.0	0	0.470588235294;0.471264367816	0	0.515283842795;0.536912751678	0.328947368421;0.321428571429	0.558823529412;0.452830188679	0	0.275510204082;0.222222222222	1.0;1.0	0.45625;0.671532846715	0	0	0	0	0.613636363636;0.681818181818	0.486486486486;0.225806451613	0	0.596153846154;0.369565217391	0.55;0.452127659574	0.512195121951;0.806451612903	0.211711711712;0.317307692308	0
Bin16500000	1.0;0.990099009901	0	0.431034482759;0.470588235294	0.527777777778;0.583333333333	0.385321100917;0.477477477477	0	0.446601941748;0.439759036145	0	0.512820512821;0.387096774194	0.460317460317;0.382352941176	0	1.0;1.0	0	0	0	0	0.448717948718;0.901234567901	0	0.533980582524;0.425742574257	0.554621848739;0.55	0	0	0.454545454545;0.568965517241
Bin16750000	0.353333333333;0.395652173913	0	0	0	1.0;1.0	0.341463414634;0.578947368421	1.0;1.0	0.46;0.291666666667	0	0.582089552239;0.489795918367	0.52380952381;0.467532467532	1.0;1.0	0	0	0	0	0.5;0.825	0	1.0;1.0	0	0	0.333333333333;0.390243902439	0.540983606557;0.444444444444
Bin17000000	1.0;1.0	0	1.0;1.0	0.469827586207;0.551075268817	1.0;1.0	0	0.989130434783;1.0	1.0;1.0	0.35;0.363636363636	1.0;1.0	0.535714285714;0.625	0.45652173913;0.238095238095	0	0	0	0.7;0.306451612903	0.333333333333;0.326923076923	0	0.535947712418;0.554285714286	0	0	0.4;0.41935483871	0.511627906977;0.522222222222
Bin17250000	1.0;1.0	0	0.539682539683;0.435897435897	1.0;0.972972972973	0.541666666667;0.427083333333	1.0;1.0	0.589743589744;0.509090909091	0.519480519481;0.238095238095	1.0;1.0	0	1.0;0.979797979798	0	0	0	0	0	0.448275862069;0.408695652174	0	0.432;0.534653465347	0.6;0.386363636364	0	0.931034482759;0.96261682243	0
Bin17500000	0.472222222222;0.423076923077	1.0;1.0	0.540540540541;0.236842105263	0.452554744526;0.425	0	0.465648854962;0.393442622951	0	1.0;1.0	0	0.428571428571;0.5	1.0;1.0	0.52;0.365853658537	0	0	0	0	0.558823529412;0.375	0	1.0;1.0	0.339285714286;0.396825396825	0	1.0;1.0	1.0;0.952380952381
Bin17750000	1.0;1.0	0.551020408163;0.4375	0.509433962264;0.5	0.571428571429;0.514285714286	0	1.0;1.0	1.0;1.0	1.0;1.0	1.0;1.0	0	0.552631578947;0.416666666667	0	0	0	0	0	0.537037037037;0.509803921569	0	1.0;1.0	1.0;1.0	1.0;1.0	0.453125;0.315789473684	1.0;1.0
Bin18000000	0.881720430108;0.775	0.31746031746;0.475	0	0	0	0.461538461538;0.336134453782	0	0.558823529412;0.755102040816	0	1.0;1.0	0.477419354839;0.30612244898	0.5;0.516129032258	0	0	0	0.995555555556;0.995594713656	0.444444444444;0.338461538462	0	1.0;1.0	0.363636363636;0.351351351351	0	0.34;0.42	0
Bin18250000	0	0	0.5;0.694444444444	0	0	1.0;1.0	0	0.415094339623;0.662790697674	0	0.466666666667;0.46511627907	0.368421052632;0.28	0.692307692308;0.375	0	0	0	0	0.434782608696;0.318181818182	0	0.472222222222;0.387323943662	1.0;1.0	0	0.5;0.603448275862	1.0;1.0
Bin18500000	0.496296296296;0.449152542373	0.455026455026;0.495145631068	0.458333333333;0.526315789474	0	0	0	0	0.446043165468;0.672566371681	0.47191011236;0.436781609195	0.434210526316;0.388235294118	1.0;1.0	0.469387755102;0.441860465116	0	0	0	0	0.384615384615;0.309278350515	0.495535714286;0.521367521368	0.232558139535;0.25	0.555555555556;0.625	0	0.5;0.426666666667	0.621212121212;0.409090909091
Bin18750000	1.0;0.991071428571	0	0	0	0	0	1.0;1.0	0	1.0;1.0	0.448275862069;0.368852459016	1.0;1.0	0.53;0.36231884058	0	0	0	0.484848484848;0.647058823529	1.0;1.0	0	0.994186046512;0.993827160494	0.516393442623;0.427586206897	1.0;1.0	0.310344827586;0.395348837209	0.520833333333;0.571428571429
Bin19000000	1.0;1.0	0	0	0	0	0	1.0;1.0	0.567375886525;0.602836879433	0.535714285714;0.666666666667	0	1.0;1.0	0.494736842105;0.611111111111	1.0;1.0	0.582995951417;0.597402597403	0	0.43661971831;0.53488372093	1.0;1.0	0.569105691057;0.529411764706	0.582191780822;0.383838383838	0	0.28813559322;0.704545454545	0.434782608696;0.571428571429	1.0;1.0
